Year,District,Type,Count
2020,ALAPPUZHA,Domestic,"2,07,507"
2020,ALAPPUZHA,Foreign,"46,629"
2020,ERNAKULAM,Domestic,"11,03,200"
2020,ERNAKULAM,Foreign,"1,34,952"
2020,IDUKKI,Domestic,"5,03,938"
2020,IDUKKI,Foreign,"20,163"
2020,KANNUR,Domestic,"2,46,400"
2020,KANNUR,Foreign,"2,754"
2020,KASARAGOD,Domestic,"76,007"
2020,KASARAGOD,Foreign,"2,184"
2020,KOLLAM,Domestic,"1,37,228"
2020,KOLLAM,Foreign,"5,141"
2020,KOTTAYAM,Domestic,"1,39,038"
2020,KOTTAYAM,Foreign,"20,072"
2020,KOZHIKODE,Domestic,"3,80,559"
2020,KOZHIKODE,Foreign,"5,262"
2020,MALAPPURAM,Domestic,"1,97,629"
2020,MALAPPURAM,Foreign,"4,100"
2020,PALAKKAD,Domestic,"1,52,152"
2020,PALAKKAD,Foreign,742
2020,PATHANAMTHITTA,Domestic,"48,960"
2020,PATHANAMTHITTA,Foreign,659
2020,THIRUVANANTHAPURAM,Domestic,"8,61,130"
2020,THIRUVANANTHAPURAM,Foreign,"90,550"
2020,THRISSUR,Domestic,"5,87,599"
2020,THRISSUR,Foreign,"3,416"
2020,WAYANAD,Domestic,"3,47,625"
2020,WAYANAD,Foreign,"4,131"
2021,ALAPPUZHA,Domestic,"3,53,921"
2021,ALAPPUZHA,Foreign,777
2021,ERNAKULAM,Domestic,"15,87,882"
2021,ERNAKULAM,Foreign,"46,821"
2021,IDUKKI,Domestic,"9,49,574"
2021,IDUKKI,Foreign,591
2021,KANNUR,Domestic,"3,46,406"
2021,KANNUR,Foreign,81
2021,KASARAGOD,Domestic,"1,25,688"
2021,KASARAGOD,Foreign,146
2021,KOLLAM,Domestic,"2,09,102"
2021,KOLLAM,Foreign,77
2021,KOTTAYAM,Domestic,"1,58,922"
2021,KOTTAYAM,Foreign,365
2021,KOZHIKODE,Domestic,"5,67,374"
2021,KOZHIKODE,Foreign,"2,074"
2021,MALAPPURAM,Domestic,"3,42,685"
2021,MALAPPURAM,Foreign,553
2021,PALAKKAD,Domestic,"2,00,801"
2021,PALAKKAD,Foreign,41
2021,PATHANAMTHITTA,Domestic,"95,840"
2021,PATHANAMTHITTA,Foreign,72
2021,THIRUVANANTHAPURAM,Domestic,"12,35,570"
2021,THIRUVANANTHAPURAM,Foreign,"8,262"
2021,THRISSUR,Domestic,"6,59,981"
2021,THRISSUR,Foreign,463
2021,WAYANAD,Domestic,"7,03,871"
2021,WAYANAD,Foreign,164
2022,ALAPPUZHA,Domestic,"7,70,916"
2022,ALAPPUZHA,Foreign,"11,469"
2022,ERNAKULAM,Domestic,"40,48,679"
2022,ERNAKULAM,Foreign,"1,86,290"
2022,IDUKKI,Domestic,"26,56,730"
2022,IDUKKI,Foreign,"27,005"
2022,KANNUR,Domestic,"8,11,461"
2022,KANNUR,Foreign,"1,290"
2022,KASARAGOD,Domestic,"2,91,062"
2022,KASARAGOD,Foreign,458
2022,KOLLAM,Domestic,"4,20,097"
2022,KOLLAM,Foreign,"1,283"
2022,KOTTAYAM,Domestic,"4,40,759"
2022,KOTTAYAM,Foreign,"9,682"
2022,KOZHIKODE,Domestic,"12,09,088"
2022,KOZHIKODE,Foreign,"10,623"
2022,MALAPPURAM,Domestic,"6,76,582"
2022,MALAPPURAM,Foreign,"6,224"
2022,PALAKKAD,Domestic,"4,74,452"
2022,PALAKKAD,Foreign,659
2022,PATHANAMTHITTA,Domestic,"3,69,103"
2022,PATHANAMTHITTA,Foreign,506
2022,THIRUVANANTHAPURAM,Domestic,"30,58,858"
2022,THIRUVANANTHAPURAM,Foreign,"81,916"
2022,THRISSUR,Domestic,"21,30,420"
2022,THRISSUR,Foreign,"6,177"
2022,WAYANAD,Domestic,"15,09,207"
2022,WAYANAD,Foreign,"1,967"
2023,ALAPPUZHA,Domestic,"7,44,352"
2023,ALAPPUZHA,Foreign,"31,403"
2023,ERNAKULAM,Domestic,"44,87,930"
2023,ERNAKULAM,Foreign,"2,79,904"
2023,IDUKKI,Domestic,"36,33,584"
2023,IDUKKI,Foreign,"1,03,644"
2023,KANNUR,Domestic,"8,54,838"
2023,KANNUR,Foreign,"2,431"
2023,KASARAGOD,Domestic,"2,92,975"
2023,KASARAGOD,Foreign,"2,291"
2023,KOLLAM,Domestic,"4,42,231"
2023,KOLLAM,Foreign,"4,713"
2023,KOTTAYAM,Domestic,"5,08,899"
2023,KOTTAYAM,Foreign,"28,458"
2023,KOZHIKODE,Domestic,"13,24,835"
2023,KOZHIKODE,Foreign,"14,710"
2023,MALAPPURAM,Domestic,"7,75,754"
2023,MALAPPURAM,Foreign,"10,398"
2023,PALAKKAD,Domestic,"5,55,593"
2023,PALAKKAD,Foreign,"1,069"
2023,PATHANAMTHITTA,Domestic,"4,31,878"
2023,PATHANAMTHITTA,Foreign,941
2023,THIRUVANANTHAPURAM,Domestic,"35,89,932"
2023,THIRUVANANTHAPURAM,Foreign,"1,48,462"
2023,THRISSUR,Domestic,"24,78,573"
2023,THRISSUR,Foreign,"16,204"
2023,WAYANAD,Domestic,"17,50,267"
2023,WAYANAD,Foreign,"4,429"
2024,ALAPPUZHA,Domestic,"7,05,993"
2024,ALAPPUZHA,Foreign,"46,470"
2024,ERNAKULAM,Domestic,"43,29,536"
2024,ERNAKULAM,Foreign,"2,68,614"
2024,IDUKKI,Domestic,"38,30,186"
2024,IDUKKI,Foreign,"1,36,883"
2024,KANNUR,Domestic,"8,57,686"
2024,KANNUR,Foreign,"2,649"
2024,KASARAGOD,Domestic,"2,84,865"
2024,KASARAGOD,Foreign,"3,775"
2024,KOLLAM,Domestic,"4,88,167"
2024,KOLLAM,Foreign,"9,048"
2024,KOTTAYAM,Domestic,"6,09,752"
2024,KOTTAYAM,Foreign,"49,318"
2024,KOZHIKODE,Domestic,"13,34,089"
2024,KOZHIKODE,Foreign,"14,224"
2024,MALAPPURAM,Domestic,"8,23,026"
2024,MALAPPURAM,Foreign,"11,449"
2024,PALAKKAD,Domestic,"6,13,025"
2024,PALAKKAD,Foreign,"1,459"
2024,PATHANAMTHITTA,Domestic,"3,86,300"
2024,PATHANAMTHITTA,Foreign,735
2024,THIRUVANANTHAPURAM,Domestic,"39,21,054"
2024,THIRUVANANTHAPURAM,Foreign,"1,71,095"
2024,THRISSUR,Domestic,"27,75,175"
2024,THRISSUR,Foreign,"18,700"
2024,WAYANAD,Domestic,"12,88,135"
2024,WAYANAD,Foreign,"3,955"
2025,ALAPPUZHA,Domestic,"8,64,288"
2025,ALAPPUZHA,Foreign,"68,630"
2025,ERNAKULAM,Domestic,"44,29,891"
2025,ERNAKULAM,Foreign,"2,76,096"
2025,IDUKKI,Domestic,"46,79,800"
2025,IDUKKI,Foreign,"1,59,339"
2025,KANNUR,Domestic,"10,18,129"
2025,KANNUR,Foreign,"4,021"
2025,KASARAGOD,Domestic,"3,13,609"
2025,KASARAGOD,Foreign,"4,396"
2025,KOLLAM,Domestic,"5,38,956"
2025,KOLLAM,Foreign,"11,416"
2025,KOTTAYAM,Domestic,"7,04,822"
2025,KOTTAYAM,Foreign,"67,154"
2025,KOZHIKODE,Domestic,"14,69,253"
2025,KOZHIKODE,Foreign,"20,104"
2025,MALAPPURAM,Domestic,"9,33,288"
2025,MALAPPURAM,Foreign,"12,215"
2025,PALAKKAD,Domestic,"6,91,851"
2025,PALAKKAD,Foreign,"1,776"
2025,PATHANAMTHITTA,Domestic,"4,50,227"
2025,PATHANAMTHITTA,Foreign,798
2025,THIRUVANANTHAPURAM,Domestic,"43,75,846"
2025,THIRUVANANTHAPURAM,Foreign,"1,66,429"
2025,THRISSUR,Domestic,"31,14,696"
2025,THRISSUR,Foreign,"24,201"
2025,WAYANAD,Domestic,"14,73,710"
2025,WAYANAD,Foreign,"5,424"
